#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
196,Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,56973,North America
197,Yemen,11945,,2159,,9124,,662,23,383,69,329592,10579,31154867,Asia
198,Caribbean Netherlands,11682,,38,,10476,,1168,,438398,1426,30126,1130559,26647,North America
199,Sint Maarten,11030,,92,,10905,,33,,250876,2093,62056,1411454,43966,North America
200,Eritrea,10189,,103,,10086,,0,,2782,28,23693,6470,3662244,Africa
201,Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660,Africa
202,St. Vincent Grenadines,9601,,124,,9472,,5,,86068,1112,113886,1020932,111551,North America
203,Guinea-Bissau,9350,,176,,8929,,245,6,4531,85,145231,70385,2063367,Africa
204,Antigua and Barbuda,9106,,146,,8954,,6,1,91509,1467,18901,189943,99509,North America
205,Comoros,9089,,161,,8885,,43,,10016,177,,,907419,Africa
206,Liberia,8090,,295,,7783,,12,2,1525,56,139824,26356,5305117,Africa
207,Sierra Leone,7762,,126,,,,,,934,15,259958,31296,8306436,Africa
208,Chad,7695,,194,,4874,,2627,,442,11,191341,10988,17413580,Africa
209,British Virgin Islands,7305,,64,,,,,,238757,2092,107339,3508269,30596,North America
210,Cook Islands,7050,,2,,7038,,10,,401229,114,19690,1120596,17571,Australia/Oceania
211,Saint Kitts and Nevis,6598,,48,,6549,,1,,122478,891,126936,2356296,53871,North America
212,Turks and Caicos,6565,,38,,6509,,18,4,165195,956,612335,15408143,39741,North America
213,Sao Tome and Principe,6500,,79,,6358,,63,,28549,347,29036,127530,227679,Africa
214,Palau,5997,,9,,5988,,0,,328909,494,69452,3809137,18233,Australia/Oceania
215,St. Barth,5478,,6,,,,,,550830,603,78646,7908095,9945,North America
216,Nauru,5393,,1,,5347,,45,,494635,92,20509,1881042,10903,Australia/Oceania
217,Kiribati,5014,,18,,2703,,2293,3,40626,146,,,123419,Australia/Oceania
218,Anguilla,3904,,12,,3879,,13,4,256336,788,51382,3373736,15230,North America
219,Macao,3515,,121,,3393,,1,,5266,181,7850,11760,667490,Asia
220,Saint Pierre Miquelon,3452,,2,,2449,,1001,1,599410,347,25400,4410488,5759,North America
221,Wallis and Futuna,3427,,7,,438,,2982,,312056,637,20508,1867419,10982,Australia/Oceania
225,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965,North America
229,Western Sahara,10,,1,,9,,0,,16,2,,,626161,Africa
