#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
123,Uganda,170605,,3632,,100431,,66542,3,3523,75,3012408,62198,48432863,Africa
124,Jamaica,154644,,3529,,102678,,48437,,51805,1182,1183986,396633,2985094,North America
125,Cambodia,138726,,3056,,135668,,2,,8080,178,3091420,180062,17168639,Asia
126,Rwanda,133194,,1468,,131647,,79,,9793,108,6021981,442778,13600464,Africa
127,Cameroon,124834,,1970,,122640,,224,13,4472,71,1751774,62762,27911548,Africa
128,Malta,118133,,832,,116641,,660,4,266046,1874,2127851,4792101,444033,Europe
129,Barbados,107332,,582,,106739,,11,,372651,2021,799983,2777497,288023,North America
130,Angola,105331,,1934,,103342,,55,,3007,55,1499795,42818,35027343,Africa
131,Channel Islands,101717,,228,,101321,,168,,576421,1292,1252808,7099551,176463,Europe
132,French Guiana,98041,,420,,11254,,86367,6,312065,1337,651257,2072951,314169,South America
133,DRC,95945,,1464,,84489,,9992,,1007,15,846704,8890,95240792,Africa
134,Senegal,88978,,1971,,86998,,9,,5040,112,1146543,64946,17653671,Africa
135,Malawi,88713,,2686,,85620,,407,67,4396,133,624784,30959,20180839,Africa
136,Ivory Coast,88308,,834,,87468,,6,,3183,30,1686583,60795,27742298,Africa
137,Suriname,82495,,1404,,,,,,138222,2352,241666,404915,596831,South America
138,New Caledonia,79916,,314,,79596,,6,9,274706,1079,98964,340182,290915,Australia/Oceania
139,French Polynesia,78219,,649,,,,,7,275260,2284,,,284164,Australia/Oceania
140,Eswatini,74323,,1425,,72824,,74,,62730,1203,1048704,885119,1184817,Africa
141,Guyana,73120,,1298,,71818,,4,,92085,1635,726398,914807,794045,South America
142,Belize,70782,,688,,70085,,9,6,171722,1669,576016,1397453,412190,North America
143,Fiji,68917,,883,,67022,,1012,,75777,971,670225,736943,909466,Australia/Oceania
144,Madagascar,68105,,1424,,66566,,115,,2334,49,528968,18129,29178077,Africa
145,Sudan,63922,,5034,,58603,,285,,1390,109,562941,12240,45992020,Africa
146,Mauritania,63668,,997,,62441,,230,,12988,203,1009957,206030,4901981,Africa
147,Cabo Verde,63260,,413,,62786,,61,23,111436,728,401622,707482,567678,Africa
148,Bhutan,62649,,21,,61564,,1064,,79510,27,2303734,2923739,787941,Asia
149,Syria,57508,,3164,,54344,,0,,2970,163,146269,7553,19364809,Asia
150,Burundi,53706,,38,,53569,,99,,4254,3,345742,27386,12624840,Africa
151,Seychelles,50937,,172,,50750,,15,,512311,1730,,,99426,Africa
152,Gabon,48981,,306,,48674,,1,,21008,131,1621909,695641,2331533,Africa
153,Andorra,47930,,165,,47563,,202,14,618747,2130,249838,3225256,77463,Europe
154,Papua New Guinea,46835,,670,,43982,,2183,7,5040,72,249149,26813,9292169,Australia/Oceania
155,Curaçao,45986,,295,,44720,,971,3,277812,1782,496693,3000640,165529,North America
156,Aruba,44114,,236,,42438,,1440,2,409947,2193,177885,1653068,107609,North America
157,Tanzania,42959,,846,,,,,7,679,13,,,63298550,Africa
158,Mayotte,42008,,188,,,,,,146748,657,176919,618038,286259,Africa
159,Mauritius,41898,,1043,,40159,,696,,32868,818,358675,281374,1274727,Africa
160,Togo,39465,,290,,39155,,20,,4546,33,810046,93314,8680837,Africa
161,Guinea,38280,,467,,37757,,56,8,2761,34,660107,47607,13865691,Africa
162,Isle of Man,38008,,116,,,,,,443335,1353,150753,1758422,85732,Europe
163,Bahamas,37491,,833,,36366,,292,1,93607,2080,257839,643767,400516,North America
164,Lesotho,34790,,723,,25980,,8087,,15990,332,431221,198199,2175699,Africa
165,Faeroe Islands,34658,,28,,,,,5,703959,569,778000,15802409,49233,Europe
166,Haiti,34218,,860,,33216,,142,,2930,74,132422,11337,11680283,North America
167,Mali,33133,11,743,,32299,1,91,,1543,35,802067,37351,21473764,Africa
168,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,67277,North America
169,Saint Lucia,30028,,409,,29095,,524,,162214,2209,210983,1139752,185113,North America
170,Benin,27999,,163,,27830,,6,,2190,13,604310,47268,12784726,Africa
171,Somalia,27334,,1361,,13182,,12791,,1623,81,400466,23778,16841795,Africa
172,Micronesia,25703,,63,,,,,1,218769,536,54967,467848,117489,Australia/Oceania
173,Congo,25375,,386,,24006,,983,,4377,67,347815,59991,5797805,Africa
174,Solomon Islands,24575,,153,,,,,1,34077,212,,,721159,Australia/Oceania
175,San Marino,23849,,123,,23689,,37,4,699692,3609,196855,5775414,34085,Europe
176,Timor-Leste,23423,,138,,23102,,183,,17104,101,278529,203391,1369429,Asia
177,Burkina Faso,22056,,396,,21596,,64,,998,18,248995,11265,22102838,Africa
178,Liechtenstein,21437,,91,,21345,,1,,558444,2371,112457,2929559,38387,Europe
179,Gibraltar,20550,,113,,16579,,3858,,609720,3353,534283,15852213,33704,Europe
180,Grenada,19683,,238,,19358,,87,4,173457,2097,182981,1612523,113475,North America
181,Bermuda,18860,,165,,18685,,10,,304493,2664,1029558,16622128,61939,North America
182,Nicaragua,18491,,225,,4225,,14041,,2728,33,,,6779100,North America
183,South Sudan,18368,,138,,18115,,115,1,1581,12,410280,35313,11618511,Africa
184,Tajikistan,17786,,125,,17264,,397,,1786,13,,,9957464,Asia
185,Equatorial Guinea,17229,,183,,16907,,139,5,11512,122,365697,244342,1496662,Africa
186,Tonga,16814,,13,,15638,,1163,,156048,121,535009,4965327,107749,Australia/Oceania
187,Samoa,16737,,31,,1605,,15101,,82759,153,187397,926612,202239,Australia/Oceania
188,Monaco,16178,,67,,15992,,119,4,406656,1684,78646,1976875,39783,Europe
189,Marshall Islands,16081,,17,,15954,,110,,267762,283,,,60057,Australia/Oceania
190,Dominica,15760,,74,,15673,,13,,217848,1023,229344,3170187,72344,North America
191,Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,1016097,Africa
192,CAR,15368,,113,,15200,,55,2,3063,23,81294,16205,5016678,Africa
193,Gambia,12598,,372,,12189,,37,,4924,145,155686,60851,2558482,Africa
194,Saint Martin,12280,,63,,1399,,10818,7,309086,1586,112382,2828643,39730,North America
195,Vanuatu,12014,,14,,11976,,24,,37330,44,24976,77606,321832,Australia/Oceania
